name,rating,genre,score,director,writer,star,runtime
Monkey Trouble,PG,Adventure,5.3,Franco Amurri,Franco Amurri,Thora Birch,96
Monkeybone,PG-13,Animation,4.8,Henry Selick,Kaja Blackley,Brendan Fraser,93
Monsieur Hire,PG-13,Crime,7.6,Patrice Leconte,Georges Simenon,Michel Blanc,81
Monsignor,R,Crime,5.1,Frank Perry,Jack-Alain Léger,Christopher Reeve,121
Monsoon Wedding,R,Comedy,7.4,Mira Nair,Sabrina Dhawan,Naseeruddin Shah,114
Monster,R,Biography,7.3,Patty Jenkins,Patty Jenkins,Charlize Theron,109
Monster House,PG,Animation,6.6,Gil Kenan,Dan Harmon,Mitchel Musso,91
Monster Trucks,PG,Animation,5.7,Chris Wedge,Derek Connolly,Lucas Till,104
Monster-in-Law,PG-13,Comedy,5.6,Robert Luketic,Anya Kochoff,Jennifer Lopez,101
Monsters,R,Adventure,6.4,Gareth Edwards,Gareth Edwards,Scoot McNairy,94
Monster's Ball,Unrated,Drama,7,Marc Forster,Milo Addica,Billy Bob Thornton,111
Monsters University,G,Animation,7.2,Dan Scanlon,Dan Scanlon,Billy Crystal,104
Monsters vs. Aliens,PG,Animation,6.4,Rob Letterman,Maya Forbes,Reese Witherspoon,94
"Monsters, Inc.",G,Animation,8.1,Pete Docter,Pete Docter,Billy Crystal,92
Monte Carlo,PG,Adventure,5.8,Thomas Bezucha,Thomas Bezucha,Selena Gomez,109
Moon,R,Drama,7.8,Duncan Jones,Duncan Jones,Sam Rockwell,97
Moon Over Parador,PG-13,Comedy,6,Paul Mazursky,Charles G. Booth,Richard Dreyfuss,103
Moonlight,R,Drama,7.4,Barry Jenkins,Barry Jenkins,Mahershala Ali,111
Moonlight Mile,PG-13,Drama,6.6,Brad Silberling,Brad Silberling,Jake Gyllenhaal,117
Moonrise Kingdom,PG-13,Comedy,7.8,Wes Anderson,Wes Anderson,Jared Gilman,94
Moonstruck,PG,Comedy,7.1,Norman Jewison,John Patrick Shanley,Cher,102
More to Life,Unrated,Drama,3.1,Joseph Ebanks,Joseph Ebanks,Shannon Bond,90
Morgan,R,Action,5.8,Luke Scott,Seth W. Owen,Kate Mara,92
Morning Glory,PG-13,Comedy,6.5,Roger Michell,Aline Brosh McKenna,Rachel McAdams,107
Morons from Outer Space,PG-13,Comedy,4.5,Mike Hodges,Griff Rhys Jones,Mel Smith,90
Mortal Engines,PG-13,Action,6.1,Christian Rivers,Fran Walsh,Hera Hilmar,128
Mortal Kombat,PG-13,Action,5.8,Paul W.S. Anderson,Ed Boon,Christopher Lambert,101
Mortal Kombat: Annihilation,PG-13,Action,3.7,John R. Leonetti,Ed Boon,Robin Shou,95
Mortal Passions,R,Crime,4.5,Andrew Lane,Alan Moskowitz,Zach Galligan,92
Mortal Thoughts,R,Mystery,5.7,Alan Rudolph,William Reilly,Demi Moore,103
Mortdecai,R,Action,5.5,David Koepp,Eric Aronson,Johnny Depp,107
Mortuary,R,Horror,5.2,Howard Avedis,Howard Avedis,Mary Beth McDonough,93
Morvern Callar,R,Drama,6.8,Lynne Ramsay,Lynne Ramsay,Samantha Morton,97
Moscow Does Not Believe in Tears,PG,Comedy,8.1,Vladimir Menshov,Valentin Chernykh,Vera Alentova,150
Moscow on the Hudson,R,Comedy,6.5,Paul Mazursky,Paul Mazursky,Robin Williams,115
Mosquito,R,Horror,4.7,Gary Jones,Tom Chaney,Gunnar Hansen,92
Most Wanted,R,Action,5.6,David Hogan,Keenen Ivory Wayans,Keenen Ivory Wayans,99
Motel Hell,R,Comedy,6,Kevin Connor,Robert Jaffe,Rory Calhoun,101
Mother,R,Crime,7.8,Bong Joon Ho,Bong Joon Ho,Hye-ja Kim,129
Mother!,R,Drama,6.6,Darren Aronofsky,Darren Aronofsky,Jennifer Lawrence,121
Mother's Boys,R,Drama,5.4,Yves Simoneau,Bernard Taylor,Jamie Lee Curtis,96
Mother's Day,PG-13,Comedy,5.7,Garry Marshall,Anya Kochoff,Jennifer Aniston,118
Moulin Rouge!,PG-13,Drama,7.6,Baz Luhrmann,Baz Luhrmann,Nicole Kidman,127
Mountains of the Moon,R,Adventure,7.2,Bob Rafelson,William Harrison,Patrick Bergin,136
Mousehunt,PG,Comedy,6.5,Gore Verbinski,Adam Rifkin,Nathan Lane,98
Movers & Shakers,PG,Comedy,4.2,William Asher,Charles Grodin,Walter Matthau,80
Movie 43,R,Comedy,4.3,Directors,Rocky Russo,Emma Stone,94
Moving,R,Comedy,6.2,Alan Metter,Andy Breckman,Richard Pryor,89
Moving Violations,PG-13,Comedy,5.7,Neal Israel,Neal Israel,John Murray,90
Mr. & Mrs. Bridge,PG-13,Drama,6.6,James Ivory,Evan S. Connell,Paul Newman,126
Mr. & Mrs. Smith,PG-13,Action,6.5,Doug Liman,Simon Kinberg,Brad Pitt,120
Mr. Baseball,PG-13,Comedy,6,Fred Schepisi,Theo Pelletier,Tom Selleck,108
Mr. Bean's Holiday,G,Comedy,6.4,Steve Bendelack,Rowan Atkinson,Rowan Atkinson,90
Mr. Brooks,R,Crime,7.3,Bruce A. Evans,Bruce A. Evans,Kevin Costner,120
Mr. Church,PG-13,Comedy,7.7,Bruce Beresford,Susan McMartin,Eddie Murphy,104
Mr. Deeds,PG-13,Comedy,5.8,Steven Brill,Clarence Budington Kelland,Adam Sandler,96
Mr. Destiny,PG-13,Comedy,6.4,James Orr,James Orr,Jim Belushi,110
Mr. Holland's Opus,PG,Drama,7.3,Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss,143
Mr. Holmes,PG,Drama,6.9,Bill Condon,Mitch Cullin,Ian McKellen,104
Mr. Jealousy,R,Comedy,6.4,Noah Baumbach,Noah Baumbach,Eric Stoltz,103
Mr. Jones,R,Drama,5.8,Mike Figgis,Eric Roth,Richard Gere,114
Mr. Love,PG-13,Comedy,6.4,Roy Battersby,Kenneth Eastaugh,Barry Jackson,91
Mr. Magoo,PG,Adventure,4,Stanley Tong,Pat Proft,Leslie Nielsen,87
Mr. Magorium's Wonder Emporium,G,Comedy,6.2,Zach Helm,Zach Helm,Natalie Portman,93
Mr. Mom,PG,Comedy,6.6,Stan Dragoti,John Hughes,Michael Keaton,91
Mr. Nanny,PG,Action,3.8,Michael Gottlieb,Edward Rugoff,Hulk Hogan,84
Mr. Nice Guy,PG-13,Action,6.2,Sammo Kam-Bo Hung,Fibe Ma,Jackie Chan,88
Mr. Nobody,R,Drama,7.8,Jaco Van Dormael,Jaco Van Dormael,Jared Leto,141
Mr. Peabody & Sherman,PG,Animation,6.8,Rob Minkoff,Jay Ward,Ty Burrell,92
Mr. Popper's Penguins,PG,Comedy,6,Mark Waters,Sean Anders,Jim Carrey,94
Mr. Right,R,Action,6.4,Paco Cabezas,Max Landis,Anna Kendrick,95
Mr. Saturday Night,R,Comedy,5.9,Billy Crystal,Billy Crystal,Billy Crystal,119
Mr. Wonderful,PG-13,Comedy,5.9,Anthony Minghella,Amy Schor Ferris,Matt Dillon,98
Mr. Wrong,PG-13,Comedy,3.8,Nick Castle,Chris Matheson,Ellen DeGeneres,96
Mrs. Brown,PG,Biography,7.2,John Madden,Jeremy Brock,Judi Dench,101
Mrs. Doubtfire,PG-13,Comedy,7,Chris Columbus,Anne Fine,Robin Williams,125
Mrs. Parker and the Vicious Circle,R,Biography,6.4,Alan Rudolph,Alan Rudolph,Jennifer Jason Leigh,125
Mrs. Soffel,PG-13,Drama,6.1,Gillian Armstrong,Ron Nyswaner,Diane Keaton,110
Mrs. Winterbourne,PG-13,Comedy,6.2,Richard Benjamin,Cornell Woolrich,Shirley MacLaine,105
Ms. Purple,Unrated,Crime,6.2,Justin Chon,Justin Chon,Jake Choi,87
Much Ado About Nothing,PG-13,Comedy,7.3,Kenneth Branagh,William Shakespeare,Kenneth Branagh,111
Much Ado About Nothing,PG-13,Comedy,7.1,Joss Whedon,William Shakespeare,Alexis Denisof,109
Mud,PG-13,Drama,7.4,Jeff Nichols,Jeff Nichols,Matthew McConaughey,130
Mulan,G,Animation,7.6,Tony Bancroft,Robert D. San Souci,Ming-Na Wen,88
Mulholland Dr.,R,Drama,7.9,David Lynch,David Lynch,Naomi Watts,147
Mulholland Falls,R,Crime,6.3,Lee Tamahori,Peter Dexter,Nick Nolte,107
Multiplicity,PG-13,Comedy,6.1,Harold Ramis,Chris Miller,Michael Keaton,117
Mumford,R,Comedy,6.8,Lawrence Kasdan,Lawrence Kasdan,Loren Dean,112
Munich,R,Action,7.5,Steven Spielberg,Tony Kushner,Eric Bana,164
Muppet Treasure Island,G,Action,7,Brian Henson,Robert Louis Stevenson,Tim Curry,99
Muppets from Space,G,Adventure,6.3,Tim Hill,Jerry Juhl,Dave Goelz,87
Muppets Most Wanted,PG,Adventure,6.4,James Bobin,James Bobin,Ricky Gervais,107
Murder at 1600,R,Action,6.1,Dwight H. Little,Wayne Beach,Wesley Snipes,107
Murder by Numbers,R,Crime,6.2,Barbet Schroeder,Tony Gayton,Sandra Bullock,115
Murder in the First,R,Drama,7.3,Marc Rocco,Dan Gordon,Christian Slater,122
Murder on the Orient Express,PG-13,Crime,6.5,Kenneth Branagh,Michael Green,Kenneth Branagh,114
Muriel's Wedding,R,Comedy,7.2,P.J. Hogan,P.J. Hogan,Toni Collette,106
Murphy's Law,R,Action,6,J. Lee Thompson,Gail Morgan Hickman,Charles Bronson,100
Murphy's Romance,PG-13,Comedy,7,Martin Ritt,Max Schott,Sally Field,107
Music and Lyrics,PG-13,Comedy,6.5,Marc Lawrence,Marc Lawrence,Hugh Grant,104
Music Box,PG-13,Crime,7.4,Costa-Gavras,Joe Eszterhas,Jessica Lange,124
Music of the Heart,PG,Drama,6.8,Wes Craven,Pamela Gray,Meryl Streep,124
Must Love Dogs,PG-13,Comedy,5.9,Gary David Goldberg,Claire Cook,Diane Lane,98
Mustang,PG-13,Drama,7.6,Deniz Gamze Ergüven,Deniz Gamze Ergüven,Günes Sensoy,97
My Beautiful Laundrette,R,Comedy,6.9,Stephen Frears,Hanif Kureishi,Saeed Jaffrey,97
My Best Friend Is a Vampire,PG,Comedy,6.1,Jimmy Huston,Tab Murphy,Robert Sean Leonard,89
My Best Friend's Girl,R,Comedy,5.9,Howard Deutch,Jordan Cahan,Kate Hudson,101
My Best Friend's Wedding,PG-13,Comedy,6.3,P.J. Hogan,Ronald Bass,Julia Roberts,105
My Big Fat Greek Wedding,PG,Comedy,6.6,Joel Zwick,Nia Vardalos,Nia Vardalos,95
My Big Fat Greek Wedding 2,PG-13,Comedy,6,Kirk Jones,Nia Vardalos,Nia Vardalos,94
My Bloody Valentine,R,Horror,6.3,George Mihalka,Stephen A. Miller,Paul Kelman,90
My Bloody Valentine,R,Horror,5.4,Patrick Lussier,Todd Farmer,Jensen Ackles,101
My Blue Heaven,PG-13,Comedy,6.3,Herbert Ross,Nora Ephron,Steve Martin,97
My Blueberry Nights,PG-13,Drama,6.6,Kar-Wai Wong,Kar-Wai Wong,Norah Jones,95
My Bodyguard,PG,Comedy,7.1,Tony Bill,Alan Ormsby,Chris Makepeace,102
My Boss's Daughter,PG-13,Comedy,4.7,David Zucker,David Dorfman,Ashton Kutcher,86
My Boyfriend's Back,PG-13,Comedy,5.4,Bob Balaban,Dean Lorey,Andrew Lowery,85
My Brother's Wedding,Unrated,Drama,7.2,Charles Burnett,Charles Burnett,Everett Silas,115
My Chauffeur,R,Comedy,5.6,David Beaird,David Beaird,Deborah Foreman,97
My Cousin Rachel,PG-13,Drama,6,Roger Michell,Roger Michell,Rachel Weisz,106
My Cousin Vinny,R,Comedy,7.6,Jonathan Lynn,Dale Launer,Joe Pesci,120
My Demon Lover,PG-13,Comedy,4.6,Charlie Loventhal,Leslie Ray,Scott Valentine,90
My Dinner with Andre,PG,Biography,7.8,Louis Malle,Wallace Shawn,Andre Gregory,110
My Dog Skip,PG,Comedy,7,Jay Russell,Willie Morris,Frankie Muniz,95
My Family,R,Drama,7.3,Gregory Nava,Gregory Nava,Jimmy Smits,128
My Father the Hero,PG,Comedy,5.5,Steve Miner,Gérard Lauzier,Gérard Depardieu,90
My Father's Glory,G,Adventure,7.6,Yves Robert,Louis Nucéra,Philippe Caubère,105
My Favorite Martian,PG,Comedy,5.1,Donald Petrie,John L. Greene,Christopher Lloyd,94
My Favorite Year,PG,Comedy,7.4,Richard Benjamin,Norman Steinberg,Peter O'Toole,92
My Fellow Americans,PG-13,Adventure,6.5,Peter Segal,E. Jack Kaplan,Jack Lemmon,101
My Friend Dahmer,R,Biography,6.2,Marc Meyers,Marc Meyers,Ross Lynch,107
My Giant,PG,Comedy,5,Michael Lehmann,Billy Crystal,Billy Crystal,103
My Girl,PG,Comedy,6.9,Howard Zieff,Laurice Elehwany,Anna Chlumsky,102
My Girl 2,PG,Comedy,5.3,Howard Zieff,Laurice Elehwany,Dan Aykroyd,99
My Hero Academia: Two Heroes,PG-13,Animation,7.5,Kenji Nagasaki,Kôhei Horikoshi,Daiki Yamashita,96
My Left Foot,R,Biography,7.9,Jim Sheridan,Shane Connaughton,Daniel Day-Lewis,103
My Life,PG-13,Drama,6.8,Bruce Joel Rubin,Bruce Joel Rubin,Michael Keaton,117
My Life as a Dog,Unrated,Drama,7.6,Lasse Hallström,Reidar Jönsson,Anton Glanzelius,101
My Life in Ruins,PG-13,Comedy,5.9,Donald Petrie,Mike Reiss,Nia Vardalos,95
My Life Without Me,R,Drama,7.5,Isabel Coixet,Isabel Coixet,Sarah Polley,106
My Little Pony: The Movie,G,Animation,6,Directors,George Arthur Bloom,Danny DeVito,86
My Little Pony: The Movie,PG,Animation,6.1,Jayson Thiessen,Meghan McCarthy,Emily Blunt,99
My Man Adam,R,Comedy,5.3,Roger L. Simon,Renée Missel,Raphael Sbarge,83
My Name Is Khan,PG-13,Drama,8,Karan Johar,Shibani Bathija,Shah Rukh Khan,165
My Neighbor Totoro,G,Animation,8.2,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,86
My Own Private Idaho,R,Drama,7,Gus Van Sant,Gus Van Sant,River Phoenix,104
"My People, My Country",Unrated,Drama,6.5,Directors,Hu Guan,Bo Huang,154
My Science Project,PG,Action,6,Jonathan R. Betuel,Jonathan R. Betuel,John Stockwell,94
My Sister's Keeper,PG-13,Drama,7.4,Nick Cassavetes,Jeremy Leven,Cameron Diaz,109
My Soul to Take,R,Horror,4.8,Wes Craven,Wes Craven,Max Thieriot,107
My Stepmother Is an Alien,PG-13,Comedy,5.4,Richard Benjamin,Jerico Stone,Dan Aykroyd,105
My Summer of Love,R,Drama,6.7,Pawel Pawlikowski,Helen Cross,Natalie Press,86
My Summer Story,PG,Comedy,5.6,Bob Clark,Jean Shepherd,Charles Grodin,85
My Super Ex-Girlfriend,PG-13,Comedy,5.1,Ivan Reitman,Don Payne,Uma Thurman,96
My Tutor,R,Comedy,5.2,George Bowers,Joe Roberts,Matt Lattanzi,97
My Twentieth Century,Unrated,Comedy,7.1,Ildikó Enyedi,Ildikó Enyedi,Dorota Segda,104
My Week with Marilyn,R,Biography,6.9,Simon Curtis,Adrian Hodges,Michelle Williams,99
Mysterious Skin,Unrated,Drama,7.6,Gregg Araki,Gregg Araki,Brady Corbet,105
Mystery Date,PG-13,Comedy,6,Jonathan Wacks,Parker Bennett,Ethan Hawke,97
Mystery Men,PG-13,Action,6.1,Kinka Usher,Neil Cuthbert,Ben Stiller,121
Mystery Train,R,Comedy,7.6,Jim Jarmusch,Jim Jarmusch,Masatoshi Nagase,110
"Mystery, Alaska",R,Comedy,6.7,Jay Roach,David E. Kelley,Russell Crowe,119
Mystic Pizza,R,Comedy,6.3,Donald Petrie,Amy Holden Jones,Annabeth Gish,104
Mystic River,R,Crime,7.9,Clint Eastwood,Brian Helgeland,Sean Penn,138
Nacho Libre,PG,Comedy,5.8,Jared Hess,Jared Hess,Jack Black,92
Nadine,PG,Comedy,5.5,Robert Benton,Robert Benton,Jeff Bridges,83
Naked,Unrated,Comedy,7.8,Mike Leigh,Mike Leigh,David Thewlis,132
Naked Gun 33 1/3: the Final Insult,PG-13,Comedy,6.5,Peter Segal,Pat Proft,Leslie Nielsen,83
Naked in New York,R,Comedy,5.6,Daniel Algrant,Daniel Algrant,Eric Stoltz,95
Naked Killer,R,Action,6,Clarence Fok,Jing Wong,Chingmy Yau,89
Naked Lunch,R,Drama,7,David Cronenberg,William S. Burroughs,Peter Weller,115
Nancy Drew,PG,Comedy,5.9,Andrew Fleming,Andrew Fleming,Emma Roberts,99
Nanny McPhee,PG,Comedy,6.6,Kirk Jones,Emma Thompson,Emma Thompson,97
Nanny McPhee Returns,PG,Comedy,6.1,Susanna White,Emma Thompson,Emma Thompson,109
Napoleon Dynamite,PG,Comedy,6.9,Jared Hess,Jared Hess,Jon Heder,96
Narc,R,Crime,7.1,Joe Carnahan,Joe Carnahan,Ray Liotta,105
Narrow Margin,R,Action,6.6,Peter Hyams,Peter Hyams,Gene Hackman,97
Nate and Hayes,PG,Action,6.2,Ferdinand Fairfax,Lloyd Phillips,Tommy Lee Jones,99
Nathalie...,Unrated,Drama,6.3,Anne Fontaine,Philippe Blasband,Fanny Ardant,100
National Lampoon's Christmas Vacation,PG-13,Comedy,7.6,Jeremiah S. Chechik,John Hughes,Chevy Chase,97
National Lampoon's European Vacation,PG-13,Adventure,6.2,Amy Heckerling,John Hughes,Chevy Chase,95
National Lampoon's Vacation,R,Adventure,7.4,Harold Ramis,John Hughes,Chevy Chase,98
National Security,PG-13,Action,5.6,Dennis Dugan,Jay Scherick,Martin Lawrence,88
National Treasure,PG,Action,6.9,Jon Turteltaub,Jim Kouf,Nicolas Cage,131
National Treasure: Book of Secrets,PG,Action,6.5,Jon Turteltaub,Marianne Wibberley,Nicolas Cage,124
Native Son,PG,Drama,5.8,Jerrold Freedman,Richard Wesley,Victor Love,111
Natural Born Killers,R,Action,7.3,Oliver Stone,Quentin Tarantino,Woody Harrelson,118
Navy Seals,R,Action,5.6,Lewis Teague,Chuck Pfarrer,Charlie Sheen,113
Ne Zha,Unrated,Animation,7.5,Yu Yang,Yu Yang,Yanting Lü,110
Near Dark,R,Action,7,Kathryn Bigelow,Kathryn Bigelow,Adrian Pasdar,94
Nebraska,R,Adventure,7.7,Alexander Payne,Bob Nelson,Bruce Dern,115
Necessary Roughness,PG-13,Comedy,6.2,Stan Dragoti,Rick Natkin,Scott Bakula,108
Ned Kelly,R,Action,6.5,Gregor Jordan,Robert Drewe,Heath Ledger,110
Need for Speed,PG-13,Action,6.4,Scott Waugh,George Gatins,Aaron Paul,132
Needful Things,R,Crime,6.3,Fraser C. Heston,Stephen King,Max von Sydow,120
Neighbors,R,Comedy,5.6,John G. Avildsen,Thomas Berger,John Belushi,94
Neighbors,R,Comedy,6.3,Nicholas Stoller,Andrew Jay Cohen,Seth Rogen,97
Neighbors 2: Sorority Rising,R,Comedy,5.7,Nicholas Stoller,Andrew Jay Cohen,Seth Rogen,92
Nell,PG-13,Drama,6.5,Michael Apted,Mark Handley,Jodie Foster,112
Nelly & Monsieur Arnaud,Unrated,Drama,7.3,Claude Sautet,Jacques Fieschi,Emmanuelle Béart,106
Nemesis,R,Action,5.4,Albert Pyun,Rebecca Charles,Olivier Gruner,95
Nerve,PG-13,Action,6.5,Henry Joost,Jessica Sharzer,Emma Roberts,96
Never Back Down,PG-13,Action,6.6,Jeff Wadlow,Chris Hauty,Sean Faris,113
Never Been Kissed,PG-13,Comedy,6.1,Raja Gosnell,Abby Kohn,Drew Barrymore,107
Never Cry Wolf,PG,Adventure,7.5,Carroll Ballard,Farley Mowat,Charles Martin Smith,105
Never Let Me Go,R,Drama,7.1,Mark Romanek,Kazuo Ishiguro,Keira Knightley,103
Never Look Away,R,Biography,7.7,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Tom Schilling,189
Never Say Never Again,PG,Action,6.2,Irvin Kershner,Kevin McClory,Sean Connery,134
Never Talk to Strangers,R,Crime,5.2,Peter Hall,Lewis A. Green,Rebecca De Mornay,86
New Jack City,R,Action,6.7,Mario Van Peebles,Thomas Lee Wright,Wesley Snipes,97
New Jersey Drive,R,Crime,6.7,Nick Gomez,Nick Gomez,Shar-Ron Corley,98
New Nightmare,R,Fantasy,6.5,Wes Craven,Wes Craven,Heather Langenkamp,112
New Rose Hotel,R,Drama,5.1,Abel Ferrara,William Gibson,Christopher Walken,93
New World,Unrated,Action,7.6,Park Hoon-jung,Park Hoon-jung,Jung-jae Lee,135
New Year's Eve,PG-13,Comedy,5.7,Garry Marshall,Katherine Fugate,Sarah Jessica Parker,118
New York Minute,PG,Comedy,5,Dennie Gordon,Emily Fox,Mary-Kate Olsen,91
New York Stories,PG,Comedy,6.4,Woody Allen,Richard Price,Woody Allen,124
"New York, I Love You",R,Comedy,6.2,Directors,Hu Hong,Shia LaBeouf,103
Newsies,PG,Drama,6.9,Kenny Ortega,Bob Tzudiker,Christian Bale,121
Next,PG-13,Action,6.2,Lee Tamahori,Gary Goldman,Nicolas Cage,96
Next Friday,R,Comedy,6.2,Steve Carr,Ice Cube,Ice Cube,98
Next of Kin,R,Action,5.8,John Irvin,Michael Jenning,Patrick Swayze,108
Nice Dreams,R,Comedy,6.2,Tommy Chong,Tommy Chong,Cheech Marin,88
Nicholas Nickleby,PG,Adventure,7.1,Douglas McGrath,Charles Dickens,Charlie Hunnam,132
Nick and Norah's Infinite Playlist,PG-13,Comedy,6.6,Peter Sollett,Lorene Scafaria,Michael Cera,90
Nick of Time,R,Action,6.3,John Badham,Patrick Sheane Duncan,Johnny Depp,90
Night and the City,R,Comedy,5.8,Irwin Winkler,Gerald Kersh,Robert De Niro,105
Night at the Museum,PG,Adventure,6.4,Shawn Levy,Robert Ben Garant,Ben Stiller,108
Night at the Museum: Battle of the Smithsonian,PG,Adventure,6,Shawn Levy,Robert Ben Garant,Ben Stiller,105
Night at the Museum: Secret of the Tomb,PG,Adventure,6.2,Shawn Levy,David Guion,Ben Stiller,98
Night Crossing,PG,Drama,6.5,Delbert Mann,John McGreevey,John Hurt,107
Night Falls on Manhattan,R,Crime,6.6,Sidney Lumet,Robert Daley,Andy Garcia,113
Night Game,R,Crime,4.9,Peter Masterson,Spencer Eastman,Roy Scheider,95
Night of the Comet,PG-13,Comedy,6.4,Thom Eberhardt,Thom Eberhardt,Catherine Mary Stewart,95
Night of the Creeps,R,Comedy,6.8,Fred Dekker,Fred Dekker,Jason Lively,88
Night of the Demons,R,Comedy,6.2,Kevin Tenney,Joe Augustyn,Cathy Podewell,90
Night of the Living Dead,R,Horror,6.9,Tom Savini,John A. Russo,Tony Todd,92
Night on Earth,R,Comedy,7.7,Jim Jarmusch,Jim Jarmusch,Winona Ryder,129
Night School,R,Horror,5.6,Ken Hughes,Ruth Avergon,Leonard Mann,88
Night School,PG-13,Comedy,5.6,Malcolm D. Lee,Kevin Hart,Kevin Hart,111
Night Shift,R,Comedy,6.6,Ron Howard,Lowell Ganz,Henry Winkler,106
Night Watch,R,Action,6.4,Timur Bekmambetov,Timur Bekmambetov,Konstantin Khabenskiy,114
"'night, Mother",PG-13,Drama,7.6,Tom Moore,Marsha Norman,Sissy Spacek,96
Nightbreed,R,Action,6.5,Clive Barker,Clive Barker,Craig Sheffer,102
Nightcrawler,R,Crime,7.8,Dan Gilroy,Dan Gilroy,Jake Gyllenhaal,117
Nightflyers,R,Horror,4.3,Robert Collector,George R.R. Martin,Catherine Mary Stewart,89
Nighthawks,R,Action,6.4,Bruce Malmuth,David Shaber,Sylvester Stallone,99
Nightmares,R,Horror,5.8,Joseph Sargent,Christopher Crowe,Cristina Raines,99
Nights in Rodanthe,PG-13,Drama,6,George C. Wolfe,Ann Peacock,Diane Lane,97
Nightwatch,R,Drama,6.2,Ole Bornedal,Ole Bornedal,Ewan McGregor,101
Nikita,R,Action,7.3,Luc Besson,Luc Besson,Anne Parillaud,117
Nim's Island,PG,Adventure,6,Jennifer Flackett,Joseph Kwong,Jodie Foster,96
Nine,PG-13,Drama,5.8,Rob Marshall,Michael Tolkin,Daniel Day-Lewis,118
Nine Months,PG-13,Comedy,5.5,Chris Columbus,Patrick Braoudé,Hugh Grant,103
Nine Queens,R,Crime,7.9,Fabián Bielinsky,Fabián Bielinsky,Ricardo Darín,114
Ninja Assassin,R,Action,6.3,James McTeigue,Matthew Sand,Rain,99
Ninja III: The Domination,R,Action,5.4,Sam Firstenberg,James R. Silke,Shô Kosugi,92
Nixon,R,Biography,7.1,Oliver Stone,Stephen J. Rivele,Anthony Hopkins,192
No Country for Old Men,R,Crime,8.1,Ethan Coen,Joel Coen,Tommy Lee Jones,122
No Escape,R,Action,6.1,Martin Campbell,Richard Herley,Ray Liotta,118
No Escape,R,Action,6.8,John Erick Dowdle,John Erick Dowdle,Lake Bell,103
No Good Deed,R,Crime,5.4,Bob Rafelson,Dashiell Hammett,Samuel L. Jackson,97
No Good Deed,PG-13,Thriller,5.6,Sam Miller,Aimee Lagos,Taraji P. Henson,84
No Holds Barred,PG-13,Action,4.4,Thomas J. Wright,Dennis Hackin,Hulk Hogan,93
No Manches Frida 2,R,Comedy,4.2,Nacho G. Velilla,Claudio Herrera,Martha Higareda,102
No Man's Land,R,Crime,6.1,Peter Werner,Dick Wolf,Charlie Sheen,106
No Man's Land,R,Comedy,7.9,Danis Tanovic,Danis Tanovic,Branko Djuric,98
No Mercy,R,Crime,5.7,Richard Pearce,James Carabatsos,Richard Gere,106
No One Lives,R,Horror,6,Ryûhei Kitamura,David Cohen,Luke Evans,86
No Reservations,PG,Comedy,6.3,Scott Hicks,Carol Fuchs,Catherine Zeta-Jones,104
"No Retreat, No Surrender",PG,Action,5.7,Corey Yuen,See-Yuen Ng,Kurt McKinney,85
"No Retreat, No Surrender 2",R,Adventure,5.1,Corey Yuen,Maria Elena Cellino,Loren Avedon,92
No Small Affair,R,Comedy,5.5,Jerry Schatzberg,Craig Bolotin,Jon Cryer,102
No Strings Attached,R,Comedy,6.2,Ivan Reitman,Elizabeth Meriwether,Natalie Portman,108
No Way Out,R,Action,7.1,Roger Donaldson,Kenneth Fearing,Kevin Costner,114
Noah,PG-13,Action,5.7,Darren Aronofsky,Darren Aronofsky,Russell Crowe,138
Nobody Knows,PG-13,Drama,8.1,Hirokazu Koreeda,Hirokazu Koreeda,Yûya Yagira,141
Nobody's Fool,PG-13,Comedy,5.5,Evelyn Purcell,Beth Henley,Rosanna Arquette,107
Nobody's Fool,R,Comedy,7.4,Robert Benton,Richard Russo,Paul Newman,110
Nobody's Fool,R,Comedy,4.9,Tyler Perry,Tyler Perry,Tiffany Haddish,110
Nocturnal Animals,R,Drama,7.5,Tom Ford,Tom Ford,Amy Adams,116
Noises Off...,PG-13,Comedy,7.5,Peter Bogdanovich,Michael Frayn,Michael Caine,101
Nomads,R,Horror,5.3,John McTiernan,John McTiernan,Lesley-Anne Down,91
Non-Stop,PG-13,Action,6.9,Jaume Collet-Serra,John W. Richardson,Liam Neeson,106
Norbit,PG-13,Comedy,4.1,Brian Robbins,Eddie Murphy,Eddie Murphy,102
North,PG,Adventure,4.5,Rob Reiner,Alan Zweibel,Elijah Wood,87
North Country,R,Drama,7.3,Niki Caro,Michael Seitzman,Charlize Theron,126
North Shore,PG,Action,6.5,William Phelps,William Phelps,Matt Adler,96
Nostalghia,Unrated,Drama,8.1,Andrei Tarkovsky,Andrei Tarkovsky,Oleg Yankovskiy,125
Not Another Teen Movie,R,Comedy,5.7,Joel Gallen,Mike Bender,Chyler Leigh,89
Not Fade Away,R,Drama,6,David Chase,David Chase,John Magaro,112
Not of This Earth,R,Comedy,4.9,Jim Wynorski,R.J. Robertson,Traci Lords,81
Not Without My Daughter,PG-13,Drama,6.4,Brian Gilbert,Betty Mahmoody,Sally Field,116
Notes on a Scandal,R,Crime,7.4,Richard Eyre,Patrick Marber,Cate Blanchett,92
